user,assistant
It must be a haunted house . Are you frightened ?,Frightened ? You must be joking .
Have you got any hobbies ?,m fond of playing the chess and I
m fond of playing the chess and I,Which is easier to learn ?
Which is easier to learn ?,"Both , but the rules of playing cards vary in different places ."
"Jim , how was your weekend ?",I went to the beach with my friends and had a barbecue there .
I went to the beach with my friends and had a barbecue there .,"That sounds like a lot of fun . Did you go swimming , too ?"
"That sounds like a lot of fun . Did you go swimming , too ?",Sure . I think it ’ s a fantastic place to go .
Sure . I think it ’ s a fantastic place to go .,I couldn ’ t agree more . That ’ s an ideal place for a vacation .
I couldn ’ t agree more . That ’ s an ideal place for a vacation .,It sure is .
It sure is .,I can ’ t wait to go there myself .
"d better prepare for the examination . 
  I don","You should change your attitude , or you will not pass the course ."
It is high time you have a talk with him . That may help clear the mists .,"I did , but he gives me a runaround ."
"I did , but he gives me a runaround .","If I were you , I would put the whole matter on the table ."
"If I were you , I would put the whole matter on the table .",But he was trying to beat about the bush . And my talk with him was fruitless .
"What is the correct time , please ?",s exactly twelve minutes past seven .
Should I ask Sara to the party ?,I would if I were you .
m sure he will help . He,You said it . I always count on him when I need his help .
You said it . I always count on him when I need his help .,"Last year he helped me out of trouble , too ."
Check out your mom,ll bet she still has something .
"ve practiced it for several weeks , but nothing happened . You see , my handwriting is still bad . 
  Oh , come on . You know it","t know when I can make it better . 
  A , whatever you do , the most important is perseverance . So you have to hang on there , the longer , the better . Then some day , you will find you"
"t know when I can make it better . 
  A , whatever you do , the most important is perseverance . So you have to hang on there , the longer , the better . Then some day , you will find you","Yeah , you are right . I must stop complaining and stick to it every day ."
"Yeah , you are right . I must stop complaining and stick to it every day .","Yeah ! Where there is a will , there is a way ."
"I ’ m so excited , mother . Oh , a new baby !",My first grandchild .
My first grandchild .,"And my first nephew . He looks a lot like you , mum . He does ."
"And my first nephew . He looks a lot like you , mum . He does .","Do you think so ? Well , I guess . He does look a lot like me . Oh , he ’ s got Richard ’ s eyes though ."
"Do you think so ? Well , I guess . He does look a lot like me . Oh , he ’ s got Richard ’ s eyes though .","Yes , he does have Richard ’ s eyes . The baby even looks like you than Richard does ."
"Yes , he does have Richard ’ s eyes . The baby even looks like you than Richard does .","Well , children usually resemble their parents ."
"Well , children usually resemble their parents .",It ’ s true . Michelle is a lot like Henry in so many ways . And she is shy with new people just like he is .
It ’ s true . Michelle is a lot like Henry in so many ways . And she is shy with new people just like he is .,You often like comparing children with their parents .
You often like comparing children with their parents .,You ’ re right .
The music has started .,How do you like this waltz ?
How do you like this waltz ?,s very nice .
"Do you speak only English in the class , or does your teacher explain everything to you in Spanish ?","Oh , we never speak Spanish in class ! Miss.Parker speaks to us only in English ."
"Oh , we never speak Spanish in class ! Miss.Parker speaks to us only in English .","s right . Does she speak English very slowly ? 
  Not always . Sometimes we don"
"s right . Does she speak English very slowly ? 
  Not always . Sometimes we don",It must be interesting to study English .
It must be interesting to study English .,Mario and I are the best students in the class . Miss Parker says that my pronunciation is very good .
Mario and I are the best students in the class . Miss Parker says that my pronunciation is very good .,Is English pronunciation easy or difficult ?
m glad you,m terrified . I don
m terrified . I don,What is it ? What happened ?
What is it ? What happened ?,I think someone is stalking me .
I think someone is stalking me .,"t be . Really ? Who ? 
  I don"
"t be . Really ? Who ? 
  I don",t stop .
t stop .,I didn
I didn,s . But then he came in too .
"m not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn","m so scared . Can I call the police ? 
  Actually , I don"
"m so scared . Can I call the police ? 
  Actually , I don","t done anything . And probably the police will just ignore it.But if anything happens again , then maybe you should call . 
  Why can"
"t done anything . And probably the police will just ignore it.But if anything happens again , then maybe you should call . 
  Why can",s not what I mean . I
s not what I mean . I,"t do anything . 
  I suppose . What can they do ? I don"
"t do anything . 
  I suppose . What can they do ? I don",t let this bother you too much.Probably it
"So , you mean people didn","s why Puritans moved to the New World , where they believed they could establish a heaven for Puritans . Later on , it was these Puritans who founded Harvard College ."
Actually Harvard was first named,", without a formal name ."
I am not convinced by your explanation . Could you explain it ?,t do that . There
t do that . There,t accept your excuse . It
t accept your excuse . It,clock .
clock .,"Ok , sounds good . But I think it"
What do you do in summer ?,I love going out into the countryside for walks or bike ride . I love being out in the fresh summer air . How about you ?
I love going out into the countryside for walks or bike ride . I love being out in the fresh summer air . How about you ?,"I don ’ t often go for walks , but I either play sports outside-you know , tennis or badminton-or just sit in the sunshine and read a good book ."
"I don ’ t often go for walks , but I either play sports outside-you know , tennis or badminton-or just sit in the sunshine and read a good book .",What do you do in winter ?
What do you do in winter ?,"Well , I play sports indoors quite often . If I ’ m feeling lazy , I just watch a film at home . I prefer summer to winter ."
"Well , I play sports indoors quite often . If I ’ m feeling lazy , I just watch a film at home . I prefer summer to winter .","I think most people do . I like wearing nice , colorful clothes in summer-you know , a nice dress or skirt . It ’ s too cold for those kinds of clothes in winter ."
"I think most people do . I like wearing nice , colorful clothes in summer-you know , a nice dress or skirt . It ’ s too cold for those kinds of clothes in winter .",Yes . I like wearing shorts in summer . My legs would freeze !
Yes . I like wearing shorts in summer . My legs would freeze !,Do you think we ’ ll have a nice summer this year ?
Do you think we ’ ll have a nice summer this year ?,"Thanks to global warming , it could be hotter than ever !"
"I will never forget Linda . After all , she was my first lover .",I think you ’ ll lay it to rest with the time flying .
I think you ’ ll lay it to rest with the time flying .,I remember that someone says that it is difficult to forget the people who don ’ t want to forget .
I remember that someone says that it is difficult to forget the people who don ’ t want to forget .,But I think time can change everything .
"Could you tell me what university you want to go to , John ?",Pardon ?
Pardon ?,What university would you enter ?
What university would you enter ?,University ? Why ? You asked me last year .
University ? Why ? You asked me last year .,"Oh , I forget.Sorry ."
"Oh , I forget.Sorry .",I went to Harvard University .
I went to Harvard University .,Did you ? And what course did you take there ?
Did you ? And what course did you take there ?,"t I tell you ? 
  I"
"t I tell you ? 
  I",ve got a bad memory .
Usually it,This is going to be a major production for you !
"m from Russia . 
  Nice to meet you , Lvan.My name is Alike . I",To me English is a difficult language .
What did you think of the film ?,I liked it . I thought it was great .
I liked it . I thought it was great .,"Yes , I liked it , too . Did you like the acting ?"
"Yes , I liked it , too . Did you like the acting ?",t you ?
"I liked physics . It ’ s all math , really , arcs , curves , velocity , cool stuff .","Yeah , yeah , but today ’ s lesson was all about the creation of the universe ."
Which film shall we see ?,"s do something different.Would you like to go to a concert ? 
  Yes , I"
"s do something different.Would you like to go to a concert ? 
  Yes , I",s on the Festival Hall.Shall we go there ?
s on the Festival Hall.Shall we go there ?,"No , I"
"No , I",s go and have something to drink instead . I know a good place . It
Everyone wants to be financial lose kill . You must invest your savings if you planed to retire rich . I ’ m thinking about buying stocks . It can be a good investment if I can manage well . What do you say ?,"I partly agree with you . Buying stocks is not difficult , but making money consistently from buying stock is very difficult . Even professionals don ’ t find it easy , so be careful . Anyway , people like us need help with investing . Why not do some online research ? There are data , reports and discussion forums to educate people on how to invest . In addition , you need to visit an established website that offers stock charts ."
"I partly agree with you . Buying stocks is not difficult , but making money consistently from buying stock is very difficult . Even professionals don ’ t find it easy , so be careful . Anyway , people like us need help with investing . Why not do some online research ? There are data , reports and discussion forums to educate people on how to invest . In addition , you need to visit an established website that offers stock charts .","Wow , you sound very professional ."
"Wow , you sound very professional .",I just watched the investment TV program last weekend . It has become a very hot topic these days . Actually I am not even a beginner .
"Bill , how can you hear so happy today ?",ve read of my roommate . I made a move today .
"Brain Locker ? No , I don","s thin and tall . He has brown hair , a holt nose , green eyes and wearing glasses . 
  Mm . I"
Where are you from ?,m from Guangzhou .
"Well , I must be off now . I have an appointment at six .","In that case , I won ’ t keep you any longer . Drop in anytime ."
"In that case , I won ’ t keep you any longer . Drop in anytime .","Ok , Goodbye ."
"Ok , Goodbye .",See you later .
Hey ! How was your first day of class ? I ’ m in level two and I ’ m loving my class this semester ! It ’ s great being in a class of international students !,"Mine was ok , except that no one in my class speaks English . I guess it will force me to converse in Chinese more in class so at least I should improve a lot this semester ."
"Mine was ok , except that no one in my class speaks English . I guess it will force me to converse in Chinese more in class so at least I should improve a lot this semester .","That ’ s both fortunate and unfortunate . It ’ s the United Nations in my class ! We have people from all over the world ! There are three Germans , a Pole , a Scottish , two French , an American , a Brazilian ,"
"That ’ s both fortunate and unfortunate . It ’ s the United Nations in my class ! We have people from all over the world ! There are three Germans , a Pole , a Scottish , two French , an American , a Brazilian ,","That ’ s quite the array of nationalities . Everyone in my class is from Asia , except me . There are a few South Koreans , several Japanese , Malaysian , Thai , Singaporean , Filipino , Kazakhstan , and o"
"That ’ s quite the array of nationalities . Everyone in my class is from Asia , except me . There are a few South Koreans , several Japanese , Malaysian , Thai , Singaporean , Filipino , Kazakhstan , and o","Well , I think you ’ re pretty lucky actually . You ’ ll have the opportunity to learn so much about Asian culture ."
"Well , I think you ’ re pretty lucky actually . You ’ ll have the opportunity to learn so much about Asian culture .","I guess so , but I think it ’ s going to be hard to relate to my classmates , especially with the language barrier . I think I might change classes ."
"I guess so , but I think it ’ s going to be hard to relate to my classmates , especially with the language barrier . I think I might change classes .",Don ’ t ! Stay the course ! Your spoken Chinese will be eternally grateful . I bet you it will even surpass mine with all that practice .
Don ’ t ! Stay the course ! Your spoken Chinese will be eternally grateful . I bet you it will even surpass mine with all that practice .,I highly doubt it . Your girlfriend is Chinese .
I highly doubt it . Your girlfriend is Chinese .,"Well , there is that , yes ."
"Good morning , Miss Li .","Morning , Mike ."
"Morning , Mike .",I ’ m sorry that I was absent yesterday .
I ’ m sorry that I was absent yesterday .,I ’ Ve already got your certificate for sick-leave . How do you feel today ?
I ’ Ve already got your certificate for sick-leave . How do you feel today ?,I feel much better now .
I feel much better now .,Have you received the reading material handed out yesterday ?
Have you received the reading material handed out yesterday ?,I ’ Ve already got it . Thanks .
I ’ Ve already got it . Thanks .,I will explain it in detail in the next class . Could you preview it ?
I will explain it in detail in the next class . Could you preview it ?,I will .
Do you like flowers ?,"Of course , I like ."
"Of course , I like .","s your favorite flower ? 
  Forsythia . It"
"s your favorite flower ? 
  Forsythia . It",s arrival .
What is the weather like today ?,s a bit wind .
s a bit wind .,I missed today
I missed today,"t mind the cold weather , but do hate when it get slippery . 
  The ice is soon be thick for skating . I"
"t mind the cold weather , but do hate when it get slippery . 
  The ice is soon be thick for skating . I",s fine . let
What kind of music do you like listening to ?,"s too loud though . You prefer classical music , don ’ t you ?"
There is a new coffee shop opening up down the street .,I hope that they have a good menu . Most coffee shops only have coffee and Danish .
I hope that they have a good menu . Most coffee shops only have coffee and Danish .,s right . You don
s right . You don,s usually boring to join my friends in the afternoon at a regular coffee shop .
"Darling , I have news for you . Bobby and his wife , Evelyn , are going to have a baby soon .",Really ? I thought his wife couldn ’ t have a baby .
Really ? I thought his wife couldn ’ t have a baby .,Actually they ’ re expecting the baby to come on my birthday .
Actually they ’ re expecting the baby to come on my birthday .,"Oh , what a coincidence ! I bet Bobby must be very happy about it . He likes children and always wants a child of his own ."
"Oh , what a coincidence ! I bet Bobby must be very happy about it . He likes children and always wants a child of his own .","In fact , they ’ re both very excited about the coming baby . Evelyn imagines what their baby would be look like , since one parent is American and the other one is Chinese ."
"In fact , they ’ re both very excited about the coming baby . Evelyn imagines what their baby would be look like , since one parent is American and the other one is Chinese .","Oh , right . Now I know why they would want to see our boy . It ’ s hard to imagine the wonder ! Are they expecting a boy or a girl ?"
"Oh , right . Now I know why they would want to see our boy . It ’ s hard to imagine the wonder ! Are they expecting a boy or a girl ?",It ’ s still a mystery . Because Evelyn is only three-month pregnant . But she begins to take her maternity leave now .
It ’ s still a mystery . Because Evelyn is only three-month pregnant . But she begins to take her maternity leave now .,"Oh ! You mean she doesn ’ t have to work now ? It ’ s hard for young parents not to overreact , isn ’ t it ?"
"Well , I am a regular member of this club .",Do you have to pay to join ?
Do you have to pay to join ?,"Yes , membership fees vary depending on the club but usually they run into tens of thousands of dollars ."
"Yes , membership fees vary depending on the club but usually they run into tens of thousands of dollars .",t they have any public courses ?
Congratulations ! What,Ten . How did your game go ?
Ten . How did your game go ?,My drives were terrible today . I kept slicing the ball into the roughs and sand traps .
My drives were terrible today . I kept slicing the ball into the roughs and sand traps .,Maybe you can correct it by going to a driving range before you play again .
The concert was really great .,I agree .
I agree .,The singing group used to be very popular .
I have tickets to The Phantom of the Opera on Friday night . Would you like to go ?,d love to . What time is the show ?   It
d love to . What time is the show ?   It,"That sounds great . So , do you want to have dinner at 6:00 ?"
"That sounds great . So , do you want to have dinner at 6:00 ?","d like to , but I have to work late . 
  Oh , that"
"d like to , but I have to work late . 
  Oh , that","s just meet at the theater before the show , around 7:30 ."
Is the Chinese team taking the lead ?,s the Japanese team .
Do you mind if I ask your friend out ?,"t going out , we"
"t going out , we",s good .
"t talk to anyone . 
  I know only too well what that",What do you mean ?
What do you mean ?,I was very sad when I was laid off last year .
"Hi , Is that David ?","s David here . 
  Hey , what"
"s David here . 
  Hey , what",Not much . My girlfriend just dumped me .
Not much . My girlfriend just dumped me .,Sorry to hear that . What happened ?
Sorry to hear that . What happened ?,s completely out of the blue .
"Hey , she is not worth it . Anyway , there are plenty more fish in the sea . Listen , let","Ok , then ."
"Ok , then .",But you have to promise me that you are not gonna wear that face .
But you have to promise me that you are not gonna wear that face .,What face ?
What face ?,The one where you look like your dog just died . You have to get over her and the sooner the better .
The one where you look like your dog just died . You have to get over her and the sooner the better .,"Yeah , I know . You are right ."
This is a nice set of wheels . How much did the dealer charge you for this ?,"A lot . I probably got to moonlight for the rest of my life , but so what , it ’ s worth it . Come on , get in . Let ’ s take a drive ."
"A lot . I probably got to moonlight for the rest of my life , but so what , it ’ s worth it . Come on , get in . Let ’ s take a drive .","Okay then , let ’ s go fast ! Whoa ! This thing can really accelerate fast ."
"Okay then , let ’ s go fast ! Whoa ! This thing can really accelerate fast .",Check out what happens when I put on the brakes suddenly . It can stop quickly .
Check out what happens when I put on the brakes suddenly . It can stop quickly .,"Hey , just watch out for cops or you ’ re gonna end up in the slammer . You know you tend to go fast ?"
"Hey , just watch out for cops or you ’ re gonna end up in the slammer . You know you tend to go fast ?","Yes , I know it . I went through my last set of tires fast . I even had three flat tires in two weeks ."
"Yes , I know it . I went through my last set of tires fast . I even had three flat tires in two weeks .",Now watch ... some guys probably run a light and hit your car .
Now watch ... some guys probably run a light and hit your car .,"Cut out , would you ?"
Bob is getting on in years .,m very worried about his health .
Which church do you attend ?,"I am Mormon , so I go to the Church of Jesus Christ of Latter Day Saints ."
"I am Mormon , so I go to the Church of Jesus Christ of Latter Day Saints .",What ’ s the difference between this and other Churches ?
What ’ s the difference between this and other Churches ?,"Mormons believe that , after the death of Christ and the death of the Apostles 10 , their church Christ founded became corrupt and the authority of Christ on earth was lost to men . In 1830 , a prophet named Joseph Smith was brought up by God to restore the church ."
"Mormons believe that , after the death of Christ and the death of the Apostles 10 , their church Christ founded became corrupt and the authority of Christ on earth was lost to men . In 1830 , a prophet named Joseph Smith was brought up by God to restore the church .",Then does that mean the other churches are corrupt ?
Then does that mean the other churches are corrupt ?,"That means that they all have parts of the original gospel , but not all ."
"That means that they all have parts of the original gospel , but not all .",Do you believe that Mormons have all of it ?
Why do you really go to church ?,"We gather together to encourage each other , because we have common beliefs . We come together and call it church ."
Hello ! What are you reading about in the newspaper ?,"Hello ! I was exhausted some studying , so I decided to read the newspaper to relax . Unfortunately , the news is so depressing . There has been another murder in the city center . I ’ m shocked that the police haven ’ t caught the killer yet ."
"Hello ! I was exhausted some studying , so I decided to read the newspaper to relax . Unfortunately , the news is so depressing . There has been another murder in the city center . I ’ m shocked that the police haven ’ t caught the killer yet .",People are starting to get frightened by it . Everyone will be relieved when they finally catch the murder .
People are starting to get frightened by it . Everyone will be relieved when they finally catch the murder .,You mean “ if ” they catch the murderer . I ’ m scared stiff about going into the city center at night .
You mean “ if ” they catch the murderer . I ’ m scared stiff about going into the city center at night .,There must have been some good news in the newspaper . I can ’ t believe that none of the news stories make you happy or excited .
There must have been some good news in the newspaper . I can ’ t believe that none of the news stories make you happy or excited .,"Well , there was one good piece of news . You remember the local girl who was dying of a rare blood disease ?"
"Well , there was one good piece of news . You remember the local girl who was dying of a rare blood disease ?",Yes . Her parents were raising money to have her treated in the united states .
Yes . Her parents were raising money to have her treated in the united states .,"Well , they ’ Ve got the money and she ’ s going tomorrow for treatment ."
"Well , they ’ Ve got the money and she ’ s going tomorrow for treatment .",I ’ m so happy for the family ! They must be very relieved and excited about that .
I ’ m so happy for the family ! They must be very relieved and excited about that .,"I ’ m sure they are . Oh , and a local man won the lottery . I ’ m so jealous ! I wish it were me ! I buy a lottery ticket every week and I ’ m amazed that I haven ’ t even won a small prize yet . It ’ s so unfair !"
"I ’ m sure they are . Oh , and a local man won the lottery . I ’ m so jealous ! I wish it were me ! I buy a lottery ticket every week and I ’ m amazed that I haven ’ t even won a small prize yet . It ’ s so unfair !","Don ’ t be moody ! I hope you ’ re not tired , because we ’ Ve been invited to a party this evening . I know how excited you get about parties ."
Hi ! Tom . Want to go to play bowling tonight ?,Sounds good . When and where shall we meet ?
Sounds good . When and where shall we meet ?,Let me see . How about 6:30 at the gate of the club ?
Let me see . How about 6:30 at the gate of the club ?,"Fine , see you then ."
Are there many idioms in English ?,There are hundreds and hundreds.English is particularly rich in idiomatic expressions .
There are hundreds and hundreds.English is particularly rich in idiomatic expressions .,Can you give us an example ?
Can you give us an example ?,ll look up the rate.To look up doesn
ll look up the rate.To look up doesn,What about the expression goodbye ? Is that an idiom ?
What about the expression goodbye ? Is that an idiom ?,"That is just a natural , grammatical English expression.It has a direct translation in other languages ."
"That is just a natural , grammatical English expression.It has a direct translation in other languages .","This is interesting , Ms.Parker ."
Why did the teacher criticise Myra in front of the whole class ?,"Because Myra was cheating on exams , and she spoke back rudely ."
"Because Myra was cheating on exams , and she spoke back rudely .","t think that Myra should have spoken so rudely to the teacher . I know she was angry , but that"
Do you know where I can park ?,Do you need a spot here or off campus ?
Do you need a spot here or off campus ?,I want a space on campus .
I want a space on campus .,s a parking structure for students .
s a parking structure for students .,"Go to the western side of the campus , and you"
"Go to the western side of the campus , and you",Is it full ?
Is it full ?,t full at all .
Have you heard of the Love Bug ?,I love you
I love you,Day this year .
I am confused by what he said .,Why do you say that ?
Why do you say that ?,I don ’ t know what he wants to do . Does he want help me or just scold me ?
I don ’ t know what he wants to do . Does he want help me or just scold me ?,Think a little . I think he means well at the bottom of his heart .
Where are you going ?,I ’ m going to the hospital .
I ’ m going to the hospital .,What ’ s the matter ?
What ’ s the matter ?,Professor Wang was hurt in a traffic accident .
Professor Wang was hurt in a traffic accident .,That ’ s too bad . How are things now ?
That ’ s too bad . How are things now ?,"His life is hanging by a thread , and he is under an emergency treatment ."
Want to meet for lunch this Saturday ?,t . I am busy .
I help out at the children,"Oh , yeah ?"
"Are the children all grown up now , Rose ?","Oh , yes . Laura ’ s the oldest . She ’ s a computer programmer ."
"Oh , yes . Laura ’ s the oldest . She ’ s a computer programmer .","Oh , very interesting . And what about Rita ? She was such a bright child — always reading ."
"Oh , very interesting . And what about Rita ? She was such a bright child — always reading .",She ’ s a librarian at the public library .
She ’ s a librarian at the public library .,Really ? And Chris ? She was a very pretty little girl .
Really ? And Chris ? She was a very pretty little girl .,Christy is working as a waitress at a restaurant in Paris . She ’ s married to a French photographer .
Christy is working as a waitress at a restaurant in Paris . She ’ s married to a French photographer .,"Oh , how interesting . And what about Larry and Rocky ?"
"Oh , how interesting . And what about Larry and Rocky ?",Larry drives a truck . He drives all over the country . We hardly ever seen him .
Larry drives a truck . He drives all over the country . We hardly ever seen him .,Really ? Where does he live now ?
Really ? Where does he live now ?,Colorado .
Colorado .,"And does Rocky drive a truck , too ?"
"And does Rocky drive a truck , too ?","Oh , no . Rocky is a pilot ."
"Oh , no . Rocky is a pilot .",Really ? Where does he fly ? Does he fly to other countries ?
Really ? Where does he fly ? Does he fly to other countries ?,Yes . Mostly to England and France .
"Merry Christmas , Linda !","Merry Christmas , Lee !"
"Merry Christmas , Lee !","Linda , thank you for this wonderful Christmas dinner . I really enjoyed it ."
"Look , there are some words on the fish .","s quite popular nowadays . 
  For God"
"s quite popular nowadays . 
  For God",s too bloody . How can people be so cruel ?
s too bloody . How can people be so cruel ?,You can
You can,s not so serious . It
s not so serious . It,s your choice because you want it . But has anyone asked the fish if it wanted one ?
"s singing in your home , Jim ?   It",s Ellie ?
s Ellie ?,s my little niece.It \
s my little niece.It \,re singing  Happy Birthday  .
re singing  Happy Birthday  .,"Oh , I see.how old is she ?"
"Oh , I see.how old is she ?","s ten . 
  I suppose they"
"s ten . 
  I suppose they",s your birthday ?
"Well , it was nice meeting you .","Yes , I hope we meet again ."
"Yes , I hope we meet again .",ll give you a call .
I saw an interesting program on TV last night . It was about elderly people .,And what did the program say ?
And what did the program say ?,It said that people with a positive attitude 7 tend to live longer and happier .
It said that people with a positive attitude 7 tend to live longer and happier .,I think that many physicians 8 now agree with that idea .
I think that many physicians 8 now agree with that idea .,And the TV program also said that physical exercise helps people deal with stress .
And the TV program also said that physical exercise helps people deal with stress .,"And the most active older people seem to enjoy some kind of physical exercise . My father is over 60 years old , and he lifts weights every day ."
"s a great news for our shareholders . 
  Yeah , I went over the figures this morning . We","ve never sold this much before , our growth this year has been phenomenal . We have captured 8 % of the market , up from last year by 120 % . Our strategy is working !"
"ve never sold this much before , our growth this year has been phenomenal . We have captured 8 % of the market , up from last year by 120 % . Our strategy is working !",The company
The company,"s made our little business into a real lucrative operation . Products are selling like hotcakes . 
  I think our success is partly because of Wallace"
"s made our little business into a real lucrative operation . Products are selling like hotcakes . 
  I think our success is partly because of Wallace","s hope this stroke of good luck lasts . I hope we are over our financial difficulties for good . 
  Let"
What a letdown . I wanted to experience some Mafia culture firsthand .,s worth it just to go and eat what the mafia eat ! The five-dollar tiramisu is a culinary orgasm .
s worth it just to go and eat what the mafia eat ! The five-dollar tiramisu is a culinary orgasm .,"Fortunately , yes . You"
"Fortunately , yes . You",Am I ? Um ... my face gets red when I walk too fast .
Am I ? Um ... my face gets red when I walk too fast .,"re embarrassed , aren"
Did you get any rewards or honors in college ?,"Yes , I received the scholarship 3 times on end ."
"Yes , I received the scholarship 3 times on end .",Did you join the Communist Party of China ( CPC ) ?
Did you join the Communist Party of China ( CPC ) ?,"Yes , I joined the CPC when I was a freshman"
Your brand new car is so excellent . I like it very much .,Let ’ s go for a joy ride .
Are you watching the soccer match tonight ? It must be the most exciting one in this season .,"Well , of course I can ’ t miss it . Which team are you for ?"
"Well , of course I can ’ t miss it . Which team are you for ?",Manchester United . What about you ?
Manchester United . What about you ?,Me too . Do you think they are going to get the championship this time ?
Me too . Do you think they are going to get the championship this time ?,I have confidence in them .
"s finally here ! 
  And it","s Memorial Day or something like that . 
  Yep . It"
"s Memorial Day or something like that . 
  Yep . It",re invited to a grill party in the park tomorrow .
re invited to a grill party in the park tomorrow .,"We need to buy some buns for the hot dogs and hamburgers , and I"
"Hi , Martin . I ’ Ve been looking for you all morning .",What ’ s up ?
I want to say goodbye . I ’ m leaving for America tomorrow .,America ? Did you get admit to MIT ?
Congratulations ! Susan . I ’ m so happy for you .,Thank you .
Thank you .,Really going to miss you .
Really going to miss you .,Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call .
Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call .,Ok . Take care . Have a nice journey .
Ok . Take care . Have a nice journey .,Thank you .
"s been in the hospital for a couple of days . 
  And I",re not to blame for them keeping him there .
Did you see Ally Mabel last night ?,"Yes , I did . Did you ?"
"Yes , I did . Did you ?","t it funny ? 
  Oh yes , I loved it . Wasn"
"t it funny ? 
  Oh yes , I loved it . Wasn","Ha , yes , brilliant !"
Look out ! Your tea water is running over .,"Oh , would you please turn off the fire ? My hands are sticky with the dough ."
"Oh , would you please turn off the fire ? My hands are sticky with the dough .",Sure .
Sure .,Thanks .
Did you see May today ?,"Yes , but why does she have such a long face ?"
"Yes , but why does she have such a long face ?",t have the foggiest idea .   I thought she
t have the foggiest idea .   I thought she,"Yeah , especially since she got a promotion recently ."
"t think the teacher had a right to say that . The teacher was wrong to have accused her in front of the whole class . 
  You",s the teacher
s the teacher,"I agree she had the right to say something , but I feel she should have done it privately ."
"I agree she had the right to say something , but I feel she should have done it privately .","re right . If I were the teacher , I wouldn"
Come on in . I am so glad you are here . We have been expecting you .,Am I late for the party ? Looks everyone is already here . Hope I didn ’ t miss something interesting .
Am I late for the party ? Looks everyone is already here . Hope I didn ’ t miss something interesting .,"No , you are just on time . We haven ’ t really started yet ."
"No , you are just on time . We haven ’ t really started yet .","Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment ."
"Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment .","Thank you , they ’ re beautiful . You can hang your coat over there . Try this new couch , it is so comfortable . You will love it . Want something to drink , tea , coffee , juice or Cola ?"
"Thank you , they ’ re beautiful . You can hang your coat over there . Try this new couch , it is so comfortable . You will love it . Want something to drink , tea , coffee , juice or Cola ?",Don ’ t bother . I will help myself .
Don ’ t bother . I will help myself .,Make yourself at home .
Make yourself at home .,It is such a nice place .
It is such a nice place .,"Well , I don ’ t mean to boast but all the designs are done by myself and some colleagues are already trying to copy some of them for their new apartments . Look , they are making photos now of my designed kitchen ."
"Steven , would you like to go dance with us tonight ?","John , I am just not in the mood for this ."
"John , I am just not in the mood for this .",s going on ?
My opponent bowled me with the very first ball . I was wondering if it,m sure you
m sure you,Perhaps you are right . But I still need some time to recover from the failure .
Perhaps you are right . But I still need some time to recover from the failure .,I understand .
The band is pretty good . How do you like the music ?,s very nice . I haven
s very nice . I haven,"Well , then , may I invite you for the next dance ?"
"Well , then , may I invite you for the next dance ?",m afraid I
m afraid I,t worry . I
t worry . I,re dancing so well .
In college . But I don,"s your favourite dance ? 
  It"
"s your favourite dance ? 
  It",How about tango ?
How about tango ?,"s such a beautiful dance , but I can"
"s such a beautiful dance , but I can",Tango is my favorite . Anything but hip-hop or the foxtrot . ( the music has stopped )
Tango is my favorite . Anything but hip-hop or the foxtrot . ( the music has stopped ),Thank you for the dance .
Thank you for the dance .,s go and have a drink .
I think the biggest environment problem in my country is air pollution .,"Yes , I agree . The air here is much more polluted than in my country . Of course , my country is more agricultural and has much less industry ."
"Yes , I agree . The air here is much more polluted than in my country . Of course , my country is more agricultural and has much less industry .","We have reduced emission of air pollutants in recent years , but cars are still a major source of them . Factories have become cleaner as stricter environment pollution law have been introduced ."
"We have reduced emission of air pollutants in recent years , but cars are still a major source of them . Factories have become cleaner as stricter environment pollution law have been introduced .","t believe that any single country can do anything about it . 
  I think you"
I just had a terrible week .,What a shame !
What a shame !,I fell down and hurt my arm .
I fell down and hurt my arm .,s too bad .
The dog bit the delivery boy .,What a pity !
What a pity !,And a storm blew our roof away .
And a storm blew our roof away .,"Ho , no !"
When do you go to bed usually ?,I go to bed at ten and get up at six .
I go to bed at ten and get up at six .,s helpful for your health .
Have you been ever been to Disneyworld ?,"When I was young , my parents took me to the one in California . I always forget which — is that one Disneyland or Disneyworld ?"
"When I was young , my parents took me to the one in California . I always forget which — is that one Disneyland or Disneyworld ?","The one in Florida is Disneyworld and the one in California is Disneyland , so you must have been to Disneyland ."
"The one in Florida is Disneyworld and the one in California is Disneyland , so you must have been to Disneyland .","s right . Why do you ask ? 
  Well , I"
"s right . Why do you ask ? 
  Well , I",When are getting married ?
When are getting married ?,t set the date yet .
If you don,ll have a good time .
ll have a good time .,Even those . It
Even those . It,"ll have loads of fun . 
  Thanks for the advice . I"
"ll have loads of fun . 
  Thanks for the advice . I",m sure he
Can you speak French ?,"Yes , I can , but not very well ."
